date,daytime,triggered_times,opened_times
2022-11-10,noon,13:00,2022-11-10 13:00:07.366885
2022-11-10,noon,13:00,2022-11-10 13:00:07.339305
2022-11-10,noon,13:00,2022-11-10 13:00:16.108130
2022-11-10,noon,13:00,2022-11-10 13:00:10.484130
2022-11-10,evening,17:00,2022-11-10 17:00:30.322371
2022-11-10,evening,17:00,2022-11-10 17:00:08.433317
2022-11-10,evening,17:00,2022-11-10 17:00:07.621882
2022-11-10,evening,17:00,2022-11-10 17:00:05.080179
2022-11-10,evening,17:00,2022-11-10 17:00:03.124043
2022-11-10,evening,17:00,2022-11-10 17:00:06.301205
2022-11-10,evening,17:00,2022-11-10 17:00:06.101839
2022-11-10,evening,17:00,2022-11-10 17:00:04.858885
2022-11-10,evening,17:00,2022-11-10 17:00:05.907117
2022-11-20,morning,08:00,2022-11-20 8:00:00
2022-11-26,morning,08:00,2022-11-26 8:00:00
2022-11-26,morning,08:00,2022-11-26 8:00:00
2022-11-26,morning,08:00,2022-11-26 8:00:00
2022-11-26,morning,08:00,2022-11-26 8:00:00
2022-11-26,morning,08:00,2022-11-26 8:00:00
2022-11-27,morning,08:00,2022-11-27 8:00:00
2022-11-27,morning,08:00,2022-11-27 8:00:00
2022-11-27,morning,08:00,2022-11-27 8:00:00
