date,daytime,triggered_times,opened_times
2021-07-12,morning,08:00,2021-07-12 08:15:43.050288
2021-07-12,noon,13:00,2021-07-12 14:31:26.868451
2021-07-12,evening,17:00,2021-07-12 17:05:02.353961
2021-07-12,night,21:00,2021-07-12 21:46:22.775166
2021-07-13,morning,08:00,2021-07-13 08:37:49.868483
2021-07-13,noon,13:00,2021-07-13 15:32:41.905304
2021-07-13,evening,17:00,not_opened
2021-07-13,night,21:00,not_opened
2021-07-14,morning,08:00,2021-07-14 08:26:30.558797
2021-07-14,noon,13:00,2021-07-14 13:09:35.068139
2021-07-14,evening,17:00,2021-07-14 17:12:27.276068
2021-07-14,night,21:00,2021-07-14 21:13:38.168851
2021-07-15,morning,08:00,2021-07-15 08:18:10.928568
2021-07-15,noon,13:00,2021-07-15 13:37:56.125310
2021-07-15,evening,17:00,2021-07-15 17:12:47.359988
2021-07-15,night,21:00,2021-07-15 21:49:23.894736
2021-07-16,morning,08:00,not_opened
2021-07-16,noon,13:00,2021-07-16 14:42:24.685656
2021-07-16,evening,17:00,not_opened
2021-07-16,night,21:00,not_opened
2021-07-17,morning,08:00,2021-07-17 08:41:07.490761
2021-07-17,noon,13:00,2021-07-17 14:38:03.235506
2021-07-17,evening,17:00,2021-07-17 18:11:54.129641
2021-07-17,night,21:00,2021-07-17 21:13:52.433503
2021-07-18,morning,08:00,2021-07-18 08:05:00.528203
2021-07-18,noon,13:00,2021-07-18 15:59:36.094614
2021-07-18,evening,17:00,2021-07-18 18:54:29.441030
2021-07-18,night,21:00,2021-07-18 21:58:52.899912
2021-07-19,morning,08:00,2021-07-19 08:24:15.963515
2021-07-19,noon,13:00,2021-07-19 14:21:19.386403
2021-07-19,evening,17:00,2021-07-19 18:19:04.709663
2021-07-19,night,21:00,2021-07-19 21:23:37.484059
2021-07-20,morning,08:00,2021-07-20 08:58:37.319273
2021-07-20,noon,13:00,2021-07-20 13:32:42.284438
2021-07-20,evening,17:00,2021-07-20 17:29:11.470437
2021-07-20,night,21:00,2021-07-20 21:08:20.049162
2021-07-21,morning,08:00,not_opened
2021-07-21,noon,13:00,2021-07-21 14:06:53.283028
2021-07-21,evening,17:00,not_opened
2021-07-21,night,21:00,not_opened
2021-07-22,morning,08:00,2021-07-22 08:09:22.816498
2021-07-22,noon,13:00,2021-07-22 13:08:51.685390
2021-07-22,evening,17:00,2021-07-22 19:29:57.123041
2021-07-22,night,21:00,2021-07-22 21:55:41.323122
2021-07-23,morning,08:00,2021-07-23 08:15:56.649267
2021-07-23,noon,13:00,2021-07-23 15:38:19.082013
2021-07-23,evening,17:00,not_opened
2021-07-23,night,21:00,not_opened
2021-07-24,morning,08:00,2021-07-24 08:50:26.978033
2021-07-24,noon,13:00,2021-07-24 15:17:44.735157
2021-07-24,evening,17:00,2021-07-24 18:16:15.703607
2021-07-24,night,21:00,2021-07-24 21:22:00.585008
2021-07-25,morning,08:00,2021-07-25 08:17:00.331316
2021-07-25,noon,13:00,2021-07-25 13:27:15.496849
2021-07-25,evening,17:00,not_opened
2021-07-25,night,21:00,not_opened
2021-07-26,morning,08:00,not_opened
2021-07-26,noon,13:00,2021-07-26 15:48:29.388468
2021-07-26,evening,17:00,not_opened
2021-07-26,night,21:00,2021-07-26 21:33:03.553715
2021-07-27,morning,08:00,2021-07-27 08:11:04.173590
2021-07-27,noon,13:00,2021-07-27 15:48:23.935235
2021-07-27,evening,17:00,2021-07-27 19:09:09.587619
2021-07-27,night,21:00,2021-07-27 21:22:47.896876
2021-07-28,morning,08:00,2021-07-28 08:15:14.669981
2021-07-28,noon,13:00,2021-07-28 15:31:48.189172
2021-07-28,evening,17:00,2021-07-28 18:10:39.458992
2021-07-28,night,21:00,2021-07-28 21:29:31.027179
2021-07-29,morning,08:00,not_opened
2021-07-29,noon,13:00,2021-07-29 14:38:15.340091
2021-07-29,evening,17:00,2021-07-29 19:01:32.862159
2021-07-29,night,21:00,2021-07-29 21:17:07.122601
2021-07-30,morning,08:00,not_opened
