day,time,core_temperature,mode,power,date_and_time
25-03-2022,17:23,0,PowerON,5.3,25-03-2022 17:23:00
25-03-2022,17:24,36.5,Standby,6.9,25-03-2022 17:24:00
25-03-2022,17:26,37.6,Standby,7.7,25-03-2022 17:26:00
25-03-2022,17:30,38.1,Standby,7.7,25-03-2022 17:30:00
25-03-2022,17:32,39,Standby,7.7,25-03-2022 17:32:00
25-03-2022,17:33,39.3,Standby,7.7,25-03-2022 17:33:00
25-03-2022,17:34,40.8,Standby,7.7,25-03-2022 17:34:00
25-03-2022,17:35,39.7,Standby,7.7,25-03-2022 17:35:00
25-03-2022,17:36,39.7,Standby,7.7,25-03-2022 17:36:00
25-03-2022,17:37,47.2,Calibration,7.8,25-03-2022 17:37:00
25-03-2022,17:38,42.9,Standby,7.6,25-03-2022 17:38:00
25-03-2022,17:39,41.9,Standby,7.5,25-03-2022 17:39:00
25-03-2022,17:40,41.9,Standby,7.6,25-03-2022 17:40:00
25-03-2022,17:41,41.9,Standby,7.6,25-03-2022 17:41:00
25-03-2022,17:42,42.9,Standby,7.6,25-03-2022 17:42:00
25-03-2022,17:43,44,SolenoidPush,25.9,25-03-2022 17:43:00
25-03-2022,17:44,42.9,Standby,7.4,25-03-2022 17:44:00
25-03-2022,17:45,43.5,Standby,7.4,25-03-2022 17:45:00
25-03-2022,17:46,42.4,Standby,7.4,25-03-2022 17:46:00
25-03-2022,17:47,42.4,Standby,7.4,25-03-2022 17:47:00
25-03-2022,17:48,42.4,Standby,7.4,25-03-2022 17:48:00
25-03-2022,17:49,43.5,Standby,7.4,25-03-2022 17:49:00
25-03-2022,17:50,42.4,Standby,7.4,25-03-2022 17:50:00
25-03-2022,17:51,42.4,Standby,7.4,25-03-2022 17:51:00
25-03-2022,17:52,43.5,Standby,7.4,25-03-2022 17:52:00
25-03-2022,17:53,42.9,Standby,7.4,25-03-2022 17:53:00
25-03-2022,17:54,44,Standby,7.4,25-03-2022 17:54:00
25-03-2022,17:55,43.5,Standby,7.4,25-03-2022 17:55:00
25-03-2022,17:56,46.7,SolenoidPush,26,25-03-2022 17:56:00
25-03-2022,17:57,44.5,Standby,7.7,25-03-2022 17:57:00
25-03-2022,17:58,46.2,Standby,7.7,25-03-2022 17:58:00
25-03-2022,17:59,43.5,Standby,7.7,25-03-2022 17:59:00
25-03-2022,18:00,45.1,SolenoidPush,25.8,25-03-2022 18:00:00
25-03-2022,18:01,43.5,Standby,7.1,25-03-2022 18:01:00
25-03-2022,18:02,46.2,SolenoidPush,25.9,25-03-2022 18:02:00
25-03-2022,18:03,42.9,Standby,7.7,25-03-2022 18:03:00
25-03-2022,18:04,44,Standby,7.7,25-03-2022 18:04:00
26-03-2022,08:26,0,PowerON,2.1,26-03-2022 08:26:00
26-03-2022,08:27,37.1,Standby,7.6,26-03-2022 08:27:00
26-03-2022,08:28,38,Standby,7.6,26-03-2022 08:28:00
26-03-2022,08:29,39.7,Standby,7.6,26-03-2022 08:29:00
26-03-2022,08:30,41.9,Standby,7.6,26-03-2022 08:30:00
26-03-2022,08:31,42.9,Standby,7.6,26-03-2022 08:31:00
26-03-2022,08:32,42.4,Standby,7.6,26-03-2022 08:32:00
26-03-2022,08:33,45.1,Calibration,16.2,26-03-2022 08:33:00
26-03-2022,08:34,46.2,SolenoidPush,26,26-03-2022 08:34:00
26-03-2022,08:35,44,Standby,7.5,26-03-2022 08:35:00
26-03-2022,08:36,42.9,Standby,7.5,26-03-2022 08:36:00
26-03-2022,08:37,44,Standby,7.5,26-03-2022 08:37:00
26-03-2022,08:38,43.5,Standby,7.5,26-03-2022 08:38:00
26-03-2022,08:39,42.9,Standby,7.5,26-03-2022 08:39:00
26-03-2022,11:00,44,Standby,7.5,26-03-2022 11:00:00
26-03-2022,11:01,42.9,Standby,7.5,26-03-2022 11:01:00
26-03-2022,11:02,43.5,Standby,7.5,26-03-2022 11:02:00
26-03-2022,11:03,45.6,Calibration,7.7,26-03-2022 11:03:00
26-03-2022,11:04,46.2,SolenoidPush,25.9,26-03-2022 11:04:00
26-03-2022,11:05,45.1,Standby,7.6,26-03-2022 11:05:00
26-03-2022,14:00,43.5,Standby,7.6,26-03-2022 14:00:00
26-03-2022,14:01,44.5,Calibration,7.6,26-03-2022 14:01:00
26-03-2022,14:02,46.2,SolenoidPush,25.8,26-03-2022 14:02:00
26-03-2022,14:03,45.1,Standby,7.7,26-03-2022 14:03:00
26-03-2022,16:00,42.9,Standby,7.7,26-03-2022 16:00:00
26-03-2022,16:01,46.2,Calibration,7.8,26-03-2022 16:01:00
26-03-2022,16:02,41.9,Standby,7.8,26-03-2022 16:02:00
26-03-2022,16:03,45.6,SolenoidPush,26,26-03-2022 16:03:00
26-03-2022,16:04,42.9,Standby,7.7,26-03-2022 16:04:00
26-03-2022,16:05,41.9,Standby,7.7,26-03-2022 16:05:00
