timestamp,daytime,discrepancy_in_user_confirmation_time,discrepancy_in_minutes,noise,light,activity,location
_23_07_2021T1300,noon,+1:51:03.967884,111.06613139999999,66.21335468,492.48,resting,indoors
_22_08_2021T0800,morning,-0:23:02.743904,-23.045731733333334,62.40969608,13.95,resting,indoors
_21_08_2021T2100,night,+0:18:58.689868,18.978164466666666,60.36483428,13.95,resting,indoors
_21_08_2021T1700,evening,+1:43:23.548853,103.39248088333333,60.56553204,13.95,resting,indoors
_21_08_2021T1300,noon,+1:52:36.646762,112.61077936666668,61.04268018,13.95,resting,indoors
_21_08_2021T0800,morning,+0:10:55.023187,10.917053116666667,65.66927246,13.95,resting,indoors
_20_08_2021T2100,night,-0:17:58.278030,-17.971300499999998,59.9655726,13.95,resting,indoors
_20_08_2021T1700,evening,-0:54:31.546763,-54.52577938333333,59.11544131,13.95,resting,indoors
_20_08_2021T1300,noon,+0:21:45.264892,21.754414866666664,65.4200109,13.95,resting,indoors
_20_08_2021T0800,morning,-0:22:24.424471,-22.40707451666667,62.55388139,13.95,resting,indoors
_19_08_2021T2100,night,not_opened,270.0,76.3508482,13.95,resting,indoors
_19_08_2021T1700,evening,not_opened,270.0,76.42415699,13.77,resting,indoors
_19_08_2021T1300,noon,+0:57:52.476360,57.874606,62.60673287,13.95,resting,indoors
_19_08_2021T0800,morning,-0:14:06.628447,-14.110474116666667,62.37289202,13.86,resting,indoors
_18_08_2021T2100,night,+0:02:45.033801,2.75056335,59.99761936,13.86,resting,indoors
_18_08_2021T1700,evening,+0:00:02.440969,0.04068281666666666,61.88440459,13.86,resting,indoors
_18_08_2021T1300,noon,-0:11:56.189090,-11.936484833333333,76.48910357,13.95,resting,indoors
_18_08_2021T0800,morning,+0:10:35.049020,10.584150333333334,65.3460774,13.86,resting,indoors
_17_08_2021T2100,night,-0:20:45.216818,-20.753613633333334,61.35736239999999,13.86,resting,indoors
_17_08_2021T1700,evening,+1:41:51.370320,101.856172,63.19541521,13.86,resting,indoors
_17_08_2021T1300,noon,-0:41:03.369971,-41.05616618333333,65.66061113,13.86,resting,indoors
_16_08_2021T2100,night,+0:29:07.374268,29.122904466666668,59.90073835,13.77,resting,indoors
_16_08_2021T1700,evening,+0:38:35.258217,38.587636950000004,61.86369182,13.95,resting,indoors
_16_08_2021T1300,noon,+0:06:16.038464,6.267307733333333,58.5299327,13.95,resting,indoors
_16_08_2021T0800,morning,-0:07:50.411739,-7.84019565,68.28117744,13.59,resting,indoors
_15_08_2021T2100,night,-0:12:45.689595,-12.761493250000001,62.44621471,13.77,resting,indoors
_15_08_2021T1700,evening,+1:59:52.269056,119.87115093333334,61.51780263,13.86,resting,indoors
_15_08_2021T1300,noon,+0:19:38.610523,19.643508716666666,62.6934356,13.95,resting,indoors
_15_08_2021T0800,morning,-0:01:19.793358,-1.3298893,68.73115907,13.86,resting,indoors
_14_08_2021T2100,night,-0:27:46.186500,-27.769775,60.81066649,13.59,resting,indoors
_14_08_2021T1700,evening,+0:15:29.670075,15.49450125,65.28036051,13.77,resting,indoors
_14_08_2021T1300,noon,-0:40:40.194152,-40.669902533333335,66.52264494,13.77,resting,indoors
_14_08_2021T0800,morning,+0:24:17.734649,24.295577483333332,73.21372879,13.86,resting,indoors
_13_08_2021T2100,night,+0:27:14.361683,27.239361383333335,67.39542729,13.86,resting,indoors
_13_08_2021T1700,evening,+1:28:16.892206,88.28153676666668,64.50553263,13.77,resting,indoors
_13_08_2021T1300,noon,+1:15:32.038161,75.53396935,61.62887075,13.77,resting,indoors
_13_08_2021T0800,morning,+0:22:32.191206,22.5365201,79.28504334,13.86,resting,indoors
_12_08_2021T2100,night,+0:11:57.883768,11.964729466666666,70.25789354,13.77,resting,indoors
_12_08_2021T1700,evening,+0:19:57.406780,19.956779666666666,74.44401846,13.59,resting,indoors
_12_08_2021T1300,noon,+1:35:33.187990,95.55313316666667,83.06802309,13.77,resting,indoors
_12_08_2021T0800,morning,+0:31:15.142793,31.252379883333333,59.70024566,13.59,resting,indoors
_11_08_2021T2100,night,+0:03:10.889416,3.1814902666666667,80.28040649,13.77,resting,indoors
_11_08_2021T1700,evening,+0:23:44.004512,23.733408533333332,68.9316457,12.87,resting,indoors
_11_08_2021T1300,noon,-0:11:33.873710,-11.564561833333332,59.93326811,12.78,resting,indoors
_11_08_2021T0800,morning,not_opened,270.0,75.57744438,12.78,resting,indoors
_10_08_2021T2100,night,+0:18:30.195902,18.50326503333333,86.61233842,12.78,resting,indoors
_10_08_2021T1700,evening,+1:49:56.032581,109.93387635,69.66592846,13.41,resting,indoors
_10_08_2021T1300,noon,+1:02:55.312071,62.92186785,60.5934785,13.59,resting,indoors
_10_08_2021T0800,morning,+0:07:00.275789,7.004596483333333,72.99194675,13.5,resting,indoors
_09_08_2021T2100,night,+0:21:50.393131,21.839885516666666,60.86329777,13.5,resting,indoors
