date,daytime,triggered_times,opened_times
2022-11-10,noon,13:00,2022-11-10 13:00:07.366885
2022-11-10,noon,13:00,2022-11-10 13:00:07.339305
2022-11-10,noon,13:00,2022-11-10 13:00:16.108130
2022-11-10,noon,13:00,2022-11-10 13:00:10.484130
2022-11-10,evening,17:00,2022-11-10 17:00:30.322371
2022-11-10,evening,17:00,2022-11-10 17:00:08.433317
2022-11-10,evening,17:00,2022-11-10 17:00:07.621882
2022-11-10,evening,17:00,2022-11-10 17:00:05.080179
2022-11-10,evening,17:00,2022-11-10 17:00:03.124043
2022-11-10,evening,17:00,2022-11-10 17:00:06.301205
2022-11-10,evening,17:00,2022-11-10 17:00:06.101839
2022-11-10,evening,17:00,2022-11-10 17:00:04.858885
2022-11-10,evening,17:00,2022-11-10 17:00:05.907117
2022-11-15,noon,13:00,2022-11-15 13:00:34.079849
2022-11-15,evening,17:00,2022-11-15 17:00:18.411444
2022-11-15,evening,17:00,2022-11-15 17:00:51.355584
2022-11-15,evening,17:00,2022-11-15 17:00:06.569959
2022-11-15,night,21:00,2022-11-15 21:00:09.706220
2022-11-17,morning,08:00,2022-11-17 8:01:54.662943
2022-11-17,morning,08:00,2022-11-17 8:00:21.239402
2022-11-17,noon,13:00,2022-11-17 13:00:09.725899
2022-11-17,noon,13:00,2022-11-17 13:00:59.479468
2022-11-17,noon,13:00,2022-11-17 13:00:30.597486
2022-11-17,noon,13:00,2022-11-17 13:00:28.002255
2022-11-17,noon,13:00,2022-11-17 13:12:20.613128
2022-11-17,noon,13:00,2022-11-17 13:08:01.544298
2022-11-17,noon,13:00,2022-11-17 13:00:10.836329
2022-11-17,noon,13:00,2022-11-17 13:00:21.530682
2022-11-17,noon,13:00,2022-11-17 13:00:16.730649
2022-11-17,noon,13:00,2022-11-17 13:03:51.570845
2022-11-17,noon,13:00,2022-11-17 13:01:25.152469
2022-11-17,noon,13:00,2022-11-17 13:00:24.811603
2022-11-17,noon,13:00,2022-11-17 13:00:15.142236
2022-11-17,noon,13:00,2022-11-17 13:00:31.124778
2022-11-17,noon,13:00,2022-11-17 13:00:23.055864
2022-11-17,noon,13:00,2022-11-17 13:00:52.082549
2022-11-17,evening,17:00,2022-11-17 17:00:38.914430
2022-11-17,evening,17:00,2022-11-17 17:00:04.076226
2022-11-17,evening,17:00,2022-11-17 17:00:16.104372
2022-11-17,evening,17:00,2022-11-17 17:00:25.804221
2022-11-17,evening,17:00,2022-11-17 17:00:06.285825
2022-11-18,noon,13:00,2022-11-18 13:01:44.365221
2022-11-19,noon,13:00,2022-11-19 13:00:14.463261
2022-11-19,noon,13:00,2022-11-19 13:00:34.960743
2022-11-19,noon,13:00,2022-11-19 13:00:05.292886
2022-11-19,noon,13:00,2022-11-19 13:00:57.577995
2022-11-19,noon,13:00,2022-11-19 13:03:14.932711
2022-11-19,evening,17:00,2022-11-19 17:02:31.937337
2022-11-19,evening,17:00,2022-11-19 17:02:56.948189
2022-11-19,evening,17:00,2022-11-19 17:00:30.026971
2022-11-19,evening,17:00,2022-11-19 17:00:43.424479
2022-11-19,evening,17:00,2022-11-19 17:00:14.235672
2022-11-19,evening,17:00,2022-11-19 17:00:05.210881
2022-11-19,evening,17:00,2022-11-19 17:00:53.450828
2022-11-19,evening,17:00,2022-11-19 17:00:45.635810
2022-11-19,evening,17:00,2022-11-19 17:00:23.091918
2022-11-19,evening,17:00,2022-11-19 17:02:16.229046
2022-11-19,evening,17:00,2022-11-19 17:00:09.144735
2022-11-19,evening,17:00,2022-11-19 17:01:41.298411
2022-11-19,evening,17:00,2022-11-19 17:00:11.003517
2022-11-19,evening,17:00,2022-11-19 17:01:14.749772
2022-11-19,evening,17:00,2022-11-19 17:03:19.185199
2022-11-19,evening,17:00,2022-11-19 17:00:13.189409
2022-11-19,night,21:00,2022-11-19 21:00:06.582217
