day,time,Temp,Light,Humidity,Noise
12-07-2021,08:00,22.95,0.675,25,62.74461729
12-07-2021,13:00,22.94,0.63,25,71.28198761
12-07-2021,17:00,22.93,0.54,25,63.3308925
12-07-2021,21:00,22.93,0.54,25,59.93326811
13-07-2021,08:00,23.68,521.28,26,64.84271003
13-07-2021,13:00,23.7,521.28,26,66.0500279
13-07-2021,17:00,23.73,521.28,26,66.28900703
13-07-2021,21:00,23.74,515.52,26,63.72726821
14-07-2021,08:00,23.75,515.52,26,60.73048245
14-07-2021,13:00,23.77,515.52,26,60.91533264
14-07-2021,17:00,23.78,515.52,26,60.78410469
14-07-2021,21:00,23.79,518.4,26,59.8016705
15-07-2021,07:00,23.79,518.4,26,69.98802371
15-07-2021,13:00,23.81,518.4,26,66.60013256
15-07-2021,17:00,23.82,515.52,26,60.73048245
15-07-2021,21:00,23.83,515.52,26,74.30418363
16-07-2021,08:00,23.84,518.4,26,66.01821928
16-07-2021,13:00,23.85,515.52,26,64.26128882
16-07-2021,17:00,23.87,515.52,26,61.77975304
16-07-2021,21:00,23.87,509.76,26,65.89679076
17-07-2021,08:00,23.89,509.76,26,64.20105379
17-07-2021,15:00,23.9,509.76,26,72.30962366
17-07-2021,17:00,23.89,506.88,26,70.88678512
17-07-2021,21:00,23.9,504,26,58.66224278
18-07-2021,08:00,23.91,501.12,26,62.27949063
18-07-2021,13:00,23.92,498.24,26,62.77842965
18-07-2021,17:00,23.92,495.36,26,64.23730421
18-07-2021,21:00,23.93,495.36,26,73.41461363
19-07-2021,08:00,23.94,498.24,26,62.55388139
19-07-2021,13:00,23.95,498.24,26,64.06552274
19-07-2021,17:00,23.95,501.12,26,63.53360375
19-07-2021,21:00,23.97,498.24,26,71.36435614
20-07-2021,08:00,23.97,498.24,26,68.79901704
20-07-2021,13:00,23.97,498.24,26,61.62887075
20-07-2021,17:00,23.98,498.24,26,72.59447291
20-07-2021,21:00,23.99,495.36,26,72.0087983
21-07-2021,08:00,24,495.36,26,60.86329777
21-07-2021,13:00,24,495.36,26,62.08644592
21-07-2021,17:00,24.01,495.36,26,61.94602761
21-07-2021,21:00,24.03,495.36,26,61.58477475
22-07-2021,08:00,24.03,492.48,26,61.69417207
22-07-2021,13:00,24.03,492.48,26,74.28042412
22-07-2021,17:00,24.04,492.48,26,60.70341943
22-07-2021,21:00,24.04,492.48,26,69.76475329
23-07-2021,08:00,24.05,492.48,26,60.73048245
23-07-2021,13:00,24.05,492.48,26,66.21335468
23-07-2021,17:00,24.06,492.48,26,73.465197
23-07-2021,21:00,24.06,492.48,26,70.62398596
24-07-2021,08:00,26.66,14.22,34,70.99725883
24-07-2021,13:00,26.67,14.31,34,71.25816125
24-07-2021,17:00,26.67,13.77,34,72.95491788
24-07-2021,21:00,26.67,13.86,34,77.50109878
25-07-2021,08:00,26.69,13.14,34,86.23564515
25-07-2021,13:00,26.71,13.77,35,80.13031407
25-07-2021,17:00,26.74,13.86,35,78.7144796
25-07-2021,21:00,26.77,13.77,35,79.00852606
26-07-2021,07:00,26.78,13.86,35,78.1532091
26-07-2021,13:00,26.79,13.95,35,80.04620668
26-07-2021,17:00,26.8,13.86,35,68.83256108
26-07-2021,21:00,26.81,14.04,35,60.48065947
27-07-2021,08:00,26.82,14.04,35,61.58477475
27-07-2021,13:00,26.82,13.95,35,71.6200943
27-07-2021,17:00,26.83,14.04,35,88.37697772
27-07-2021,21:00,26.82,13.86,35,67.41863007
28-07-2021,08:00,26.83,14.13,35,60.67620799
28-07-2021,13:00,26.83,14.13,35,74.78899812
28-07-2021,17:00,26.83,14.22,35,58.2046447
28-07-2021,21:00,26.84,14.04,35,63.44788271
29-07-2021,08:00,26.85,13.5,35,64.46007121
29-07-2021,13:00,26.87,13.95,35,60.2156005
29-07-2021,17:00,26.91,14.22,35,83.88132119
29-07-2021,21:00,26.93,13.95,35,68.48040464
30-07-2021,08:00,26.94,13.86,35,71.18589732
30-07-2021,13:00,26.95,14.22,35,79.88666478
30-07-2021,17:00,26.94,14.22,35,64.13996977
